Mes,AÑO,Farola,Sticker,Potencia Antigua,W,Tecnologia,Marca,Direccion,Latitud,Longitud,Observacion
Enero,2022,1637057,A19761&C4-3531,70,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.930251665,-75.28547944,HURTO DE LUMINARIA 
Enero,2022,1637058,A19762&C4-3532,70,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.934005,-75.291458,HURTO DE LUMINARIA 
Febrero,2022,1637050,A19795&C4-3364,70,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.933856032,-75.29402429,HURTO DE LUMINARIA 
Febrero,2022,1637051,A19796&C4-3365,70,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.933856032,-75.29402429,HURTO DE LUMINARIA 
Febrero,2022,1637053,SC&C4-3370,70,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.93375612,-75.29416844,HURTO DE LUMINARIA 
Febrero,2022,1637054,SC&C4-3371,70,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.93375612,-75.29416844,HURTO DE LUMINARIA 
Febrero,2022,1637055,SC&C4-3372,70,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.93375612,-75.29416844,HURTO DE LUMINARIA 
Febrero,2022,1637056,A19760&C4-3530,70,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.933883,-75.291407,HURTO DE LUMINARIA 
Marzo,2022,1637046,A19253&C4-3360,70,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.933742423,-75.29397817,HURTO DE LUMINARIA 
Marzo,2022,1637047,A1924&C4-3361,70,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.933742423,-75.29397817,HURTO DE LUMINARIA 
Marzo,2022,1637049,A19794&C4-3363,70,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.933856032,-75.29402429,HURTO DE LUMINARIA 
Abril,2022,1647854,A19096&C7-0853,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.930416598,-75.28558469,HURTO DE LUMINARIA 
Abril,2022,1648482,A19660&C8-1126,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.931434359,-75.28390379,HURTO DE LUMINARIA 
Abril,2022,1639546,A19083&C8-1133,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.932695557,-75.28301447,HURTO DE LUMINARIA 
Abril,2022,1639547,A19084&C8-1134,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.930837987,-75.28671588,HURTO DE LUMINARIA 
Abril,2022,1639520,A14870&C8-1075,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.933728819,-75.28153141,HURTO DE LUMINARIA 
Abril,2022,1648464,A19628&C8-1086,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.89305074,-75.25916231,HURTO DE LUMINARIA 
Abril,2022,1648465,A19629&C8-1087,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.89312392,-75.25401703,HURTO DE LUMINARIA 
Abril,2022,1647798,A19500&C7-0727,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.933195779,-75.28949366,HURTO DE LUMINARIA 
Abril,2022,1638888,A19860&C7-0796,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.933251675,-75.28932458,HURTO DE LUMINARIA 
Abril,2022,1638889,A19858&C7-0799,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.934036803,-75.29093378,HURTO DE LUMINARIA 
Abril,2022,1638890,A19857&C7-0800,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.932792894,-75.2890142,HURTO DE LUMINARIA 
Abril,2022,1638891,A19855&C7-0803,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.932660268,-75.28865396,HURTO DE LUMINARIA 
Abril,2022,1638892,A19854&C7-0804,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.932779744,-75.28878897,HURTO DE LUMINARIA 
Abril,2022,1638893,A19250&C7-0807,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.934066974,-75.29111114,HURTO DE LUMINARIA 
Abril,2022,1638444,A19262&C4-3506,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.933898052,-75.29344783,HURTO DE LUMINARIA 
Abril,2022,1648457,A1486&C8-1071,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.912274,-75.285785,HURTO DE LUMINARIA 
Abril,2022,1648458,A14868&C8-1074,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.933823215,-75.28138863,HURTO DE LUMINARIA 
Abril,2022,1648460,A24136&C8-1078,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.932864673,-75.28327289,HURTO DE LUMINARIA 
Abril,2022,1648461,A19623&C8-1079,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.93425137,-75.28108425,HURTO DE LUMINARIA 
Abril,2022,1639585,A19609&C8-1220,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.93391743,-75.28124567,HURTO DE LUMINARIA 
Abril,2022,1648503,A19570&C8-1169,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.93312544,-75.2827473,HURTO DE LUMINARIA 
Abril,2022,1648502,A19568&C8-1166,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.93079313,-75.28418212,HURTO DE LUMINARIA 
Abril,2022,1648501,A19567&C8-1165,40,0.5,LED,OTRAS MARCAS,AVENIDA LA TOMA,2.930249176,-75.28508632,HURTO DE LUMINARIA 
